record_kind,method,full_path,route_prefix,route_name,source_file,line,router_module,registered,auth_dependencies,authorization_scope,service_references,response_model,notes
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-readiness/summary,/api/agencies/{agency_id},summarize_agency_feature_bundle_rollout_readiness,backend/routers/agency_feature_bundle_rollout_readiness.py,33,routers.agency_feature_bundle_rollout_readiness,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutReadinessService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-risks,/api/agencies/{agency_id},list_agency_feature_bundle_rollout_risks,backend/routers/agency_feature_bundle_rollout_risks.py,26,routers.agency_feature_bundle_rollout_risks,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutRiskService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-risks/summary,/api/agencies/{agency_id},summarize_agency_feature_bundle_rollout_risks,backend/routers/agency_feature_bundle_rollout_risks.py,48,routers.agency_feature_bundle_rollout_risks,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutRiskService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-risks/{risk_id},/api/agencies/{agency_id},get_agency_feature_bundle_rollout_risk,backend/routers/agency_feature_bundle_rollout_risks.py,58,routers.agency_feature_bundle_rollout_risks,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutRiskService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-rollback-plans,/api/agencies/{agency_id},list_agency_feature_bundle_rollout_rollback_plans,backend/routers/agency_feature_bundle_rollout_rollback_plans.py,26,routers.agency_feature_bundle_rollout_rollback_plans,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutRollbackPlanService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-rollback-plans/summary,/api/agencies/{agency_id},summarize_agency_feature_bundle_rollout_rollback_plans,backend/routers/agency_feature_bundle_rollout_rollback_plans.py,48,routers.agency_feature_bundle_rollout_rollback_plans,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutRollbackPlanService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-rollback-plans/{rollback_plan_id},/api/agencies/{agency_id},get_agency_feature_bundle_rollout_rollback_plan,backend/routers/agency_feature_bundle_rollout_rollback_plans.py,58,routers.agency_feature_bundle_rollout_rollback_plans,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutRollbackPlanService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-schedule,/api/agencies/{agency_id},list_agency_feature_bundle_rollout_schedules,backend/routers/agency_feature_bundle_rollout_schedule.py,26,routers.agency_feature_bundle_rollout_schedule,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutScheduleService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-schedule/summary,/api/agencies/{agency_id},summarize_agency_feature_bundle_rollout_schedules,backend/routers/agency_feature_bundle_rollout_schedule.py,37,routers.agency_feature_bundle_rollout_schedule,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutScheduleService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-schedule/{schedule_id},/api/agencies/{agency_id},get_agency_feature_bundle_rollout_schedule,backend/routers/agency_feature_bundle_rollout_schedule.py,47,routers.agency_feature_bundle_rollout_schedule,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutScheduleService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-summary-packs,/api/agencies/{agency_id},list_agency_feature_bundle_rollout_summary_packs,backend/routers/agency_feature_bundle_rollout_summary_packs.py,26,routers.agency_feature_bundle_rollout_summary_packs,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutSummaryPackService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-summary-packs/summary,/api/agencies/{agency_id},summarize_agency_feature_bundle_rollout_summary_packs,backend/routers/agency_feature_bundle_rollout_summary_packs.py,46,routers.agency_feature_bundle_rollout_summary_packs,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutSummaryPackService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
